"","Master.Incident.Number","Response.Date","Response.Type","Location.Name","Responding.Unit","Location.Address"
"607","121716-0396",2016-12-17 13:29:00,"EMS","Oak Hammock 2680 SW 53rd Ln - SNF - HCF","TW2","2680 Sw 53rd Ln
(29.60488, -82.36085)"
"608","121716-0393",2016-12-17 13:27:00,"EMS","Pizza Hut (Archer)","SQ2","3515 ARCHER RD SW
(29.62378, -82.375049)"
"609","121716-0390",2016-12-17 13:26:00,"EMS","Lexington Crossing Phase","E2","3700 Sw 27th St
(29.617504, -82.362631)"
"610","121716-0383",2016-12-17 13:05:00,"EMS","Lowes (13th)","SQ1","2564 Nw 13th St
(29.67604, -82.340763)"
"611","121716-0374",2016-12-17 12:49:00,"EMS","GFR Station 7","E7","5601 Nw 43rd St
(29.706375, -82.388101)"
"612","121716-0365",2016-12-17 12:38:00,"EMS","Park Meadows -HCF","TW2","3250 Sw 41st Pl
(29.616024, -82.37026)"
"613","121716-0362",2016-12-17 12:35:00,"EMS","Gate Food Post","E5","3001 Nw 13th St
(29.680718, -82.338738)"
"614","121716-0361",2016-12-17 12:31:00,"EMS","","E4","4037 Nw 18th Pl
(29.669133, -82.386634)"
"615","121716-0355",2016-12-17 12:25:00,"EMS","","E2","3206 Sw 25th Dr
(29.622448, -82.359822)"
"616","121716-0310",2016-12-17 11:17:00,"EMS","Grace Marketplace","E5","3055 Ne 28th Dr
(29.679606, -82.286588)"
"617","121716-0269",2016-12-17 10:17:00,"EMS","","Q8","2450 Nw 35th Ter
(29.676279, -82.377287)"
"618","121716-0267",2016-12-17 10:15:00,"EMS","Parkland Rehab -HCF","E2","1000 Sw 16th Av
(29.637132, -82.33607)"
"619","121716-0231",2016-12-17 09:26:00,"EMS","Georgetown Apartments","E5","1324 Nw 16th Av
(29.66695, -82.340606)"
"620","121716-0205",2016-12-17 08:28:00,"EMS","","E3","913 Ne 25th St
(29.660959, -82.292005)"
"621","121716-0196",2016-12-17 08:14:00,"ALM","","E3","1105 Ne 26th Ter
(29.662215, -82.289988)"
"622","121716-0192",2016-12-17 08:02:00,"EMS","","Q8","3511 Nw 26th Ter
(29.685188, -82.361296)"
"623","121716-0179",2016-12-17 07:41:00,"FIRE","","E2","Sw 34th St / Sw 39th Blvd
(29.617983, -82.372453)"
"624","121716-0158",2016-12-17 06:13:00,"EMS","Atrium at Gville","E7","2431 Nw 41st St
(29.675146, -82.38446)"
"625","121716-0135",2016-12-17 04:20:00,"EMS","","E2","3716 Sw 30th Ter
(29.61612, -82.367815)"
"626","121716-0103",2016-12-17 03:12:00,"EMS","Eden Park Apts","E5","1350 39TH AV NE
(29.688681, -82.308037)"
"627","121716-0089",2016-12-17 02:33:00,"EMS","","E5","883 Nw 21st Av
(29.671635, -82.333649)"
"628","121716-0077",2016-12-17 02:18:00,"EMS","Midtown","SQ1","1700 W University Av
(29.652231, -82.344852)"
"629","121716-0075",2016-12-17 02:16:00,"FIRE","","Q8","5929 Nw 32nd St
(29.709456, -82.3692)"
"630","121716-0052",2016-12-17 01:14:00,"EMS","Cranes Cleaners","E5","411 Ne 23rd Av
(29.673533, -82.320407)"
"631","121716-0040",2016-12-17 01:01:00,"EMS","","E4","2392 Sw 2nd Av
(29.650629, -82.359074)"
"632","121616-1026",2016-12-16 23:52:00,"EMS","Rockeys Piano Bar","SQ1","112 S Main St
(29.650528, -82.325188)"
"633","121616-1020",2016-12-16 23:37:00,"EMS","","Q8","4734 Nw 35th St
(29.698264, -82.374592)"
"634","121616-0999",2016-12-16 22:58:00,"EMS","","E4","2436 Nw 28th St
(29.675084, -82.365779)"
"635","121616-0927",2016-12-16 21:10:00,"FIRE","Sundowne Apt (84)","SQ2","3600 Windmeadows Blvd
(29.628644, -82.375745)"
"636","121616-0917",2016-12-16 20:47:00,"EMS","","Q8","2417 Nw 47th Ln
(29.697441, -82.356961)"
"637","121616-0915",2016-12-16 20:44:00,"EMS","Gainesville Nissan","E5","3915 N Main St
(29.688925, -82.318567)"
"638","121616-0889",2016-12-16 20:09:00,"EMS","High Rise","SQ1","400 Nw 1st Av
(29.65291, -82.328767)"
"639","121616-0886",2016-12-16 20:00:00,"EMS","Spanish Trace (77)","E2","3500 Windmeadows Blvd
(29.628928, -82.374501)"
"640","121616-0880",2016-12-16 19:50:00,"EMS","","E5","1932 Nw 45th Av
(29.696119, -82.348859)"
"641","121616-0855",2016-12-16 19:29:00,"EMS","","E3","1368 Ne 28th Av
(29.677771, -82.307269)"
"642","121616-0808",2016-12-16 18:50:00,"EMS","Glendale","Q8","3725 Nw 7th Av
(29.657728, -82.379547)"
"643","121616-0805",2016-12-16 18:47:00,"EMS","Park Meadows -HCF","E2","3250 Sw 41st Pl
(29.616024, -82.37026)"
"644","121616-0795",2016-12-16 18:34:00,"EMS","Circle K (121/93)","E2","3424 Sw Williston Rd
(29.603655, -82.372355)"
"645","121616-0789",2016-12-16 18:27:00,"EMS","Walgreens Pharmacy (eua/ waldo Rd)","E3","1120 E University Av
(29.652431, -82.310334)"
"646","121616-0776",2016-12-16 18:11:00,"EMS","","E3","600 Ne 11th St
(29.657258, -82.311862)"
"647","121616-0752",2016-12-16 17:57:00,"EMS","","E4","1905 Nw 27th Ter
(29.669594, -82.363134)"
"648","121616-0728",2016-12-16 17:30:00,"SVC","Walmart Super Center (23rd St)","Q8","5700 Nw 23rd St
(29.708353, -82.356295)"
"649","121616-0693",2016-12-16 16:56:00,"ALM","","E3","320 Ne 19th St
(29.654645, -82.300925)"
"650","121616-0690",2016-12-16 16:54:00,"EMS","","Q8","2735 Nw 42nd Pl
(29.692605, -82.363319)"
"651","121616-0650",2016-12-16 16:00:00,"EMS","Taco Bell (NW 13th St)","E5","2224 Nw 13th St
(29.673652, -82.33962)"
"652","121616-0627",2016-12-16 15:46:00,"EMS","Savannah","SQ2","322 Sw 62nd Blvd
(29.649888, -82.409437)"
"653","121616-0619",2016-12-16 15:38:00,"EMS","Parkland Rehab -HCF","SQ1","1000 Sw 16th Av
(29.637132, -82.33607)"
"654","121616-0611",2016-12-16 15:28:00,"ALM","","E1","1406 Se 1st St
(29.633102, -82.321895)"
"655","121616-0605",2016-12-16 15:25:00,"EMS","","E2","Sw Williston Rd / Sw 34th St
(29.60377, -82.370913)"
"656","121616-0514",2016-12-16 13:32:00,"EMS","Brookdale (frmr Emeritus)","SQ2","1001 Sw 62nd Blvd
(29.642145, -82.397365)"
"657","121616-0482",2016-12-16 12:58:00,"EMS","Walmart Super Center (Waldo Rd)","E3","1800 Ne 12th Av
(29.663982, -82.300795)"
"658","121616-0473",2016-12-16 12:48:00,"EMS","","E5","20 Ne 42nd Pl
(29.692054, -82.323843)"
"659","121616-0429",2016-12-16 12:13:00,"EMS","","E4","944 Nw 42nd Ter
(29.6603, -82.388802)"
"660","121616-0401",2016-12-16 11:46:00,"EMS","UF FAMILY PRACTICE","E7","3951 Nw 48th Ter
(29.689778, -82.394388)"
"661","121616-0393",2016-12-16 11:35:00,"EMS","","TW2","2016 Sw 16th Av
(29.634987, -82.351594)"
"662","121616-0374",2016-12-16 11:12:00,"EMS","McDonalds (SWWR)","E2","3418 Sw Williston Rd
(29.603918, -82.371485)"
"663","121616-0369",2016-12-16 11:05:00,"EMS","Oak Ridge Apartments","E5","1120 Nw 45th Av
(29.69621, -82.337395)"
"664","121616-0332",2016-12-16 10:24:00,"ALM","La Petite Academy","E2","2755 Sw Archer Rd
(29.630216, -82.363924)"
"665","121616-0321",2016-12-16 10:14:00,"ALM","La Petite Academy","TW2","2755 Sw Archer Rd
(29.630216, -82.363924)"
"666","121616-0306",2016-12-16 09:57:00,"EMS","Atrium at Gville","E7","2431 Nw 41st St
(29.675146, -82.38446)"
"667","121616-0283",2016-12-16 09:27:00,"EMS","Shands Medical Plaza -HCF","E2","2000 Sw Archer Rd
(29.636934, -82.350372)"
"668","121616-0246",2016-12-16 08:41:00,"EMS","Tolbert Hall","E4","2087 Stadium Rd
(29.648292, -82.35126)"
"669","121616-0227",2016-12-16 08:16:00,"EMS","Archer Court Apartments","E2","3001 Sw Archer Rd
(29.62917, -82.367105)"
"670","121616-0203",2016-12-16 07:49:00,"EMS","","Q8","2705 Nw 47th Pl
(29.698317, -82.362367)"
"671","121616-0160",2016-12-16 06:40:00,"EMS","Bailey Manor Apartments","SQ1","1307 Nw 6th St
(29.66405, -82.330288)"
"672","121616-0152",2016-12-16 06:24:00,"FIRE","","E2","Sw Archer Rd / Sw 34th St
(29.626912, -82.372532)"
"673","121616-0140",2016-12-16 05:22:00,"ALM","University Commons Apartments","TW2","2601 Sw Archer Rd
(29.631009, -82.363194)"
"674","121616-0113",2016-12-16 04:06:00,"EMS","","E3","1533 Ne 5th Av
(29.655368, -82.304623)"
"675","121616-0106",2016-12-16 03:35:00,"EMS","Signature Healthcare -HCF","SQ2","4000 Sw 20th Av
(29.634982, -82.383394)"
"676","121616-0088",2016-12-16 02:55:00,"ALM","Sledd Hall","Q1","191 Fletcher Dr
(29.650363, -82.346047)"
"677","121616-0079",2016-12-16 02:36:00,"EMS","Dignity Campgrounds","E3","3035 Ne 28th Dr
(29.677242, -82.290818)"
"678","121616-0072",2016-12-16 02:17:00,"EMS","","E3","1600 Ne 16th Av
(29.66651, -82.304096)"
"679","121616-0043",2016-12-16 01:11:00,"EMS","Enclave Apartments","E2","3000 Sw 35th Pl
(29.620981, -82.368569)"
"680","121516-1065",2016-12-15 23:29:00,"EMS","Lillian's Music Store","SQ1","112 Se 1st St
(29.650552, -82.324138)"
"681","121516-0982",2016-12-15 21:03:00,"EMS","Village Green Apartments","E3","3101 Ne 15th St
(29.682637, -82.3051)"
"682","121516-0978",2016-12-15 20:57:00,"EMS","First United Methodist Church","SQ1","419 Ne 1st St
(29.655262, -82.323563)"
"683","121516-0940",2016-12-15 19:53:00,"HAZ","","Q8","4328 Nw 29th Ter
(29.694193, -82.367074)"
"684","121516-0928",2016-12-15 19:39:00,"EMS","Rocky Point Apartments","TW2","3100 Sw 35th Pl
(29.621841, -82.369799)"
"685","121516-0915",2016-12-15 19:29:00,"FIRE","Archer Woods Apartments","E2","3020 Sw Archer Rd
(29.629458, -82.368283)"
"686","121516-0867",2016-12-15 18:32:00,"EMS","Bella Vista Village Apartment","E5","110 Nw 39th Av
(29.691497, -82.32672)"
"687","121516-0858",2016-12-15 18:27:00,"EMS","ROADWAY","E2","3400 Sw Williston Rd
(29.60377, -82.370913)"
"688","121516-0833",2016-12-15 18:06:00,"EMS","","E4","3907 Nw 23rd Cir
(29.675052, -82.382173)"
"689","121516-0823",2016-12-15 18:00:00,"EMS","Oak Park High Rise","SQ1","100 Ne 8th Av
(29.659622, -82.324003)"
"690","121516-0798",2016-12-15 17:32:00,"EMS","Partnership for Strong Families (new)","SQ2","5950 Nw 1st Pl
(29.653874, -82.406028)"
"691","121516-0779",2016-12-15 17:13:00,"EMS","Laurels Apartments","E2","4455 Sw 34th St
(29.61166, -82.371328)"
"692","121516-0775",2016-12-15 17:09:00,"ALM","Hilton Garden Inn","TW2","4075 Sw 33rd Pl
(29.622696, -82.385261)"
"693","121516-0739",2016-12-15 16:20:00,"EMS","","SQ1","1219 Ne 21st Ct
(29.664033, -82.297335)"
"694","121516-0699",2016-12-15 15:30:00,"EMS","Parkland Rehab -HCF","TW2","1000 Sw 16th Av
(29.637132, -82.33607)"
"695","121516-0691",2016-12-15 15:15:00,"EMS","Davis Cancer Center -- HCF","E2","2000 Sw Archer Rd
(29.636934, -82.350372)"
"696","121516-0688",2016-12-15 15:12:00,"ALM","","E1","2255 Ne 13th Av
(29.664234, -82.294594)"
"697","121516-0656",2016-12-15 14:40:00,"EMS","BPL Plasma","E1","150 Nw 6th St
(29.653463, -82.331247)"
"698","121516-0639",2016-12-15 14:14:00,"EMS","Interventional Cardiologists -HCF","E4","1151 Nw 64th Ter
(29.664751, -82.410809)"
"699","121516-0638",2016-12-15 14:10:00,"EMS","UF Family Medicine -HCF","SQ1","1707 N Main St
(29.667501, -82.323882)"
"700","121516-0610",2016-12-15 13:40:00,"ALM","Plaza Royale Shopping A-West","TW2","3842 Newberry Rd
(29.653667, -82.382256)"
"701","121516-0562",2016-12-15 13:05:00,"EMS","VOCATIONAL REHAB","E7","2610 Nw 43rd St
(29.676932, -82.389498)"
"702","121516-0536",2016-12-15 12:46:00,"EMS","A1 Yellow Cab","E3","2525 Ne 19th Dr
(29.676215, -82.299442)"
"703","121516-0495",2016-12-15 12:03:00,"EMS","RTS Rosa Parks Transfer Station","SQ1","700 Se 3rd St
(29.646044, -82.322666)"
"704","121516-0466",2016-12-15 11:21:00,"EMS","Lilac Cottage B -- Tacachale -HCF","E3","1951 Ne 23rd St
(29.67031, -82.294439)"
"705","121516-0427",2016-12-15 10:45:00,"EMS","Granada Apartments","E1","1800 Nw 4th St
(29.668426, -82.329413)"
"706","121516-0422",2016-12-15 10:41:00,"EMS","Flint Hill","E5","300 Nw 20th Av
(29.671583, -82.327822)"
"707","121516-0419",2016-12-15 10:38:00,"EMS","","SQ1","1121 Nw 6th Av
(29.656206, -82.336786)"
"708","121516-0382",2016-12-15 10:06:00,"EMS","Orthopedic Surgery","SQ2","3450 Hull Rd
(29.638334, -82.373775)"
"709","121516-0376",2016-12-15 10:03:00,"EMS","Winn Dixie NMS","E5","2500 N Main St
(29.675841, -82.321992)"
"710","121516-0347",2016-12-15 09:40:00,"HAZ","","HZ2","1277 Nw 50th Ter
(29.663774, -82.396223)"
"711","121516-0320",2016-12-15 09:20:00,"EMS","","E4","2809 W University Av
(29.651485, -82.364609)"
"712","121516-0299",2016-12-15 08:59:00,"EMS","Turkey Creek Forest Mobile Home Park","E7","8620 Nw 13th St
(29.734273, -82.38453)"
"713","121516-0296",2016-12-15 08:57:00,"ALM","Stephen Foster Elementary","Q8","3800 Nw 6th St
(29.687231, -82.331752)"
"714","121516-0268",2016-12-15 08:26:00,"EMS","Brookdale (frmr Emeritus)","SQ2","1001 Sw 62nd Blvd
(29.642145, -82.397365)"
"715","121516-0228",2016-12-15 07:48:00,"EMS","","E4","2147 Nw 7th Pl
(29.658736, -82.353102)"
"716","121516-0203",2016-12-15 07:20:00,"EMS","GFR Station 1","E1","427 S Main St
(29.647532, -82.324641)"
"717","121516-0194",2016-12-15 07:15:00,"EMS","","Q8","5926 Nw 37th Ter
(29.709384, -82.379416)"
"718","121516-0161",2016-12-15 06:24:00,"EMS","","SQ1","13 Ne 15th St
(29.652328, -82.305669)"
"719","121516-0152",2016-12-15 06:05:00,"EMS","Grace Marketplace","E3","3055 Ne 28th Dr
(29.679606, -82.286588)"
"720","121516-0143",2016-12-15 05:58:00,"EMS","Georgetown Apartments","E5","1324 Nw 16th Av
(29.66695, -82.340606)"
"721","121516-0124",2016-12-15 04:36:00,"EMS","","E5","2300 N MAIN ST
(29.674018, -82.32163)"
"722","121516-0115",2016-12-15 03:48:00,"EMS","UPD-University Police Dept","E2","1555 Museum Rd
(29.644836, -82.342842)"
"723","121516-0106",2016-12-15 03:09:00,"EMS","","E5","624 Nw 19th Av
(29.669583, -82.33168)"
"724","121516-0075",2016-12-15 02:01:00,"ALM","Sunshine Park Apartments","E5","1901 Nw 2nd St
(29.669356, -82.325703)"
"725","121516-0040",2016-12-15 00:59:00,"EMS","Circle K (3838nms)","E5","3838 N Main St
(29.688148, -82.31967)"
"726","121516-0033",2016-12-15 00:50:00,"EMS","","E4","1705 Nw 38th Ter
(29.668333, -82.381338)"
"727","121516-0001",2016-12-15 00:04:00,"EMS","","E4","Nw 27th Ter / W University Av
(29.65201, -82.363642)"
"728","121416-1131",2016-12-14 23:18:00,"EMS","Sunshine Park Apartments","E5","1901 Nw 2nd St
(29.669356, -82.325703)"
"729","121416-1084",2016-12-14 21:57:00,"FIRE","","Q1","1200 E UNIVERSITY AV
(29.651936, -82.310097)"
"730","121416-1077",2016-12-14 21:45:00,"EMS","Village Green Apartments","E3","3101 Ne 15th St
(29.682637, -82.3051)"
"731","121416-1060",2016-12-14 21:07:00,"EMS","","E2","3213 Sw 26th Way
(29.621413, -82.362372)"
"732","121416-1056",2016-12-14 20:59:00,"FIRE","","Q1","5518 Ne 27th Av
(29.675925, -82.259536)"
"733","121416-1055",2016-12-14 20:57:00,"EMS","","E3","1611 Ne 8th Av
(29.659037, -82.30444)"
"734","121416-1047",2016-12-14 20:42:00,"EMS","Windmeadows Apartments","E2","3700 Windmeadows Blvd
(29.628025, -82.378126)"
"735","121416-1046",2016-12-14 20:40:00,"EMS","","E5","1652 Nw 19th Cir
(29.671113, -82.34477)"
"736","121416-1004",2016-12-14 19:51:00,"EMS","Target Copy Center (W UNIV AV)","SQ1","1412 W University Av
(29.652187, -82.3411)"
"737","121416-0957",2016-12-14 18:56:00,"EMS","Spanish Trace (77)","E2","3500 Windmeadows Blvd
(29.628928, -82.374501)"
"738","121416-0948",2016-12-14 18:50:00,"EMS","Oak Park High Rise","SQ1","100 Ne 8th Av
(29.659622, -82.324003)"
"739","121416-0940",2016-12-14 18:39:00,"EMS","","E5","4021 Nw 7th St
(29.690049, -82.332333)"
"740","121416-0922",2016-12-14 18:21:00,"HAZ","Circle K (3901swar)","HZ2","3901 Sw Archer Rd
(29.618422, -82.382942)"
"741","121416-0903",2016-12-14 18:00:00,"FIRE","","E5","N Main St / Ne 23rd Av
(29.673888, -82.321558)"
"742","121416-0900",2016-12-14 17:57:00,"EMS","","E4","2002 Nw 37th Blvd
(29.671132, -82.379495)"
"743","121416-0868",2016-12-14 17:24:00,"EMS","Pointe 23 Apartments","E3","740 Ne 23rd Av
(29.674047, -82.317391)"
"744","121416-0852",2016-12-14 17:07:00,"EMS","Sunshine Inn","E5","4155 Nw 13th St
(29.692084, -82.338697)"
"745","121416-0841",2016-12-14 16:59:00,"EMS","Dignity Campgrounds","E3","3035 Ne 28th Dr
(29.677242, -82.290818)"
"746","121416-0831",2016-12-14 16:46:00,"EMS","Grace Marketplace","E3","3055 Ne 28th Dr
(29.679606, -82.286588)"
"747","121416-0815",2016-12-14 16:32:00,"EMS","Wet Seal Clothing Oaks Mall","SQ2","6613 W NEWBERRY RD
(29.659658, -82.412871)"
"748","121416-0812",2016-12-14 16:31:00,"EMS","Senior Health Care Center -HCF","E4","2205 Nw 40th Ter
(29.673869, -82.383632)"
"749","121416-0801",2016-12-14 16:14:00,"EMS","Dr Hughes","SQ1","316 Sw 16th Av
(29.636647, -82.328666)"
"750","121416-0778",2016-12-14 15:44:00,"EMS","","Q8","2509 Nw 52nd Av
(29.701745, -82.359421)"
"751","121416-0770",2016-12-14 15:37:00,"EMS","Student Business Services (2nd Av)","E4","3501 Sw 2nd Av
(29.649974, -82.376224)"
"752","121416-0693",2016-12-14 14:24:00,"EMS","","SQ2","3829 Sw 37th St
(29.61848, -82.379777)"
"753","121416-0666",2016-12-14 13:56:00,"EMS","Shands Medical Plaza -HCF","E2","2000 Sw Archer Rd
(29.636934, -82.350372)"
"754","121416-0659",2016-12-14 13:52:00,"EMS","RTS Rosa Parks Transfer Station","Q1","700 Se 3rd St
(29.646044, -82.322666)"
"755","121416-0657",2016-12-14 13:51:00,"EMS","DOJ Dept of the Jail","E3","3333 Ne 39th Av
(29.679163, -82.27795)"
"756","121416-0642",2016-12-14 13:39:00,"EMS","Macs Drive Thru","E1","129 Nw 10th Av
(29.661104, -82.325869)"
"757","121416-0640",2016-12-14 13:38:00,"EMS","Alachua Co Humane Society","Q8","4205 Nw 6th St
(29.692374, -82.332714)"
"758","121416-0638",2016-12-14 13:35:00,"EMS","","SQ1","517 Nw 27th Av
(29.677056, -82.329669)"
"759","121416-0623",2016-12-14 13:20:00,"EMS","","E5","3931 Ne 1st Ter
(29.689473, -82.324614)"
"760","121416-0587",2016-12-14 12:52:00,"EMS","Sports Medicine Institute -HCF","E4","3450 Hull Rd
(29.638334, -82.373775)"
"761","121416-0546",2016-12-14 12:31:00,"EMS","Royal Park Stadium 16 Theaters","E4","3702 W University Av
(29.651979, -82.379773)"
"762","121416-0532",2016-12-14 12:18:00,"EMS","Pine Grove Apartments","SQ1","1901 Ne 2nd St
(29.66945, -82.319981)"
"763","121416-0517",2016-12-14 12:02:00,"EMS","Pinewood Terrace Apartments","E7","4229 Nw 43rd St
(29.693499, -82.388065)"
"764","121416-0466",2016-12-14 11:19:00,"EMS","Parkland Rehab -HCF","TW2","1000 Sw 16th Av
(29.637132, -82.33607)"
"765","121416-0452",2016-12-14 11:08:00,"EMS","","SQ1","2200 E University Av
(29.651908, -82.295895)"
"766","121416-0426",2016-12-14 10:41:00,"EMS","Bivens Cove Apartments","E2","3301 Sw 13th St
(29.622137, -82.337474)"
"767","121416-0425",2016-12-14 10:39:00,"EMS","Tacachale Health Clinic - HCF","E3","1950 Ne 23rd St
(29.669776, -82.295126)"
"768","121416-0382",2016-12-14 09:51:00,"FIRE","EUA","E1","300 E University Av
(29.651961, -82.322404)"
"769","121416-0370",2016-12-14 09:45:00,"EMS","Eastside Community Practice","SQ1","410 Ne Waldo Rd
(29.655325, -82.31012)"
"770","121416-0352",2016-12-14 09:34:00,"EMS","","E3","2425 Ne 13th Av
(29.664216, -82.29286)"
"771","121416-0237",2016-12-14 08:00:00,"EMS","Parkland Rehab -HCF","E2","1000 Sw 16th Av
(29.637132, -82.33607)"
"772","121416-0234",2016-12-14 07:57:00,"EMS","","SQ1","Sw 6th St / Sw 3rd Av
(29.648979, -82.330957)"
"773","121416-0211",2016-12-14 07:39:00,"EMS","","E4","4610 Nw 17th Pl
(29.668316, -82.392206)"
"774","121416-0208",2016-12-14 07:38:00,"EMS","Pansy Cottage","E3","2421 Ne 21st Ter
(29.674003, -82.295948)"
"775","121416-0142",2016-12-14 06:03:00,"EMS","","Q8","2278 Nw 52nd Pl
(29.702878, -82.354999)"
"776","121416-0103",2016-12-14 03:38:00,"EMS","Rustic Springs Condominiums 23RD","E5","1923 Nw 23rd Blvd
(29.67468, -82.348194)"
"777","121416-0068",2016-12-14 02:09:00,"EMS","","Q8","6028 Nw 26th St
(29.710175, -82.361062)"
"778","121416-0059",2016-12-14 01:46:00,"EMS","Hidden Village Apartments","E2","2725 Sw 27th Av
(29.62561, -82.364468)"
"779","121416-0050",2016-12-14 01:32:00,"EMS","VA Honor Center","E3","1604 Se 3rd Av
(29.64947, -82.304048)"
"780","121316-1132",2016-12-13 23:32:00,"EMS","Archer Court Apartments","E2","3001 Sw Archer Rd
(29.62917, -82.367105)"
"781","121316-1106",2016-12-13 22:39:00,"EMS","St Francis House","E1","413 S Main St
(29.648078, -82.32461)"
"782","121316-1083",2016-12-13 22:01:00,"EMS","Atrium at Gville","E7","2431 Nw 41st St
(29.675146, -82.38446)"
"783","121316-1069",2016-12-13 21:42:00,"ALM","Summit House","TW2","1700 Sw 16th Ct
(29.63517, -82.342519)"
"784","121316-1060",2016-12-13 21:25:00,"EMS","Spanish Trace Apartments","E2","3500 Windmeadows Blvd
(29.628928, -82.374501)"
"785","121316-1054",2016-12-13 21:16:00,"FIRE","","E3","706 24TH ST NE
(29.658095, -82.293586)"
"786","121316-1042",2016-12-13 20:50:00,"EMS","","SQ2","4103 Sw 17th Pl
(29.635986, -82.385054)"
"787","121316-1002",2016-12-13 20:09:00,"ALM","Lakeside Residential 1182","TW2","2907 Radio Rd
(29.642269, -82.365495)"
"788","121316-0992",2016-12-13 19:56:00,"EMS","Dignity Campgrounds","E5","3035 28TH DR NE
(29.677242, -82.290818)"
"789","121316-0970",2016-12-13 19:25:00,"EMS","Hidden Village Apartments","E2","2725 Sw 27th Av
(29.62561, -82.364468)"
"790","121316-0966",2016-12-13 19:18:00,"EMS","","SQ1","1391 Se 22nd Av
(29.63161, -82.3072)"
"791","121316-0959",2016-12-13 19:11:00,"EMS","Publix, N Main St.","E1","1302 N Main St
(29.663905, -82.325476)"
"792","121316-0934",2016-12-13 18:37:00,"EMS","Home Depot (13th)","E5","5150 Nw 13th St
(29.701362, -82.344067)"
"793","121316-0916",2016-12-13 18:18:00,"EMS","","E3","1134 Ne 24th St
(29.662979, -82.29388)"
"794","121316-0891",2016-12-13 17:47:00,"EMS","Ignite Life Center","E1","404 Nw 14th Av
(29.665197, -82.329391)"
"795","121316-0882",2016-12-13 17:38:00,"EMS","","Q8","3922 Nw 36th Ter
(29.689253, -82.377389)"
"796","121316-0875",2016-12-13 17:29:00,"EMS","Woodland Park Apartments","SQ1","1900 Se 4th St
(29.632092, -82.318584)"
"797","121316-0863",2016-12-13 17:14:00,"EMS","Gainesville Healthcare - HCF","SQ2","4842 Sw Archer Rd
(29.612967, -82.395203)"
"798","121316-0861",2016-12-13 17:13:00,"FIRE","","E4","Nw 22nd St / W University Av
(29.652071, -82.353646)"
"799","121316-0841",2016-12-13 16:55:00,"EMS","","Q8","4511 Nw 29th Ter
(29.696074, -82.365813)"
"800","121316-0842",2016-12-13 16:55:00,"EMS","","E5","525 Nw 32nd Av
(29.681946, -82.329931)"
"801","121316-0831",2016-12-13 16:44:00,"EMS","Turkey Creek Forest Mobile Home Park","E7","8620 Nw 13th St
(29.734273, -82.38453)"
"802","121316-0823",2016-12-13 16:37:00,"EMS","","E4","1401 Nw 43rd Ter
(29.665134, -82.389488)"
"803","121316-0797",2016-12-13 16:11:00,"FIRE","","E2","Nw 8th Av / Nw 22nd St
(29.659441, -82.353619)"
"804","121316-0790",2016-12-13 16:07:00,"FIRE","","E1","700 E University Av
(29.651954, -82.317704)"
"805","121316-0764",2016-12-13 15:50:00,"EMS","Shands Dialysis Center -HCF","TW2","2409 Sw Archer Rd
(29.631869, -82.36031)"
"806","121316-0704",2016-12-13 15:08:00,"EMS","Pats Perfect Fit Inc 2","E4","3432 W University Av
(29.652294, -82.373427)"
"807","121316-0684",2016-12-13 14:47:00,"EMS","Dignity Campgrounds","E3","3035 Ne 28th Dr
(29.677242, -82.290818)"
"808","121316-0627",2016-12-13 13:55:00,"EMS","Chevron W University Av","E4","3328 W University Av
(29.652414, -82.372071)"
"809","121316-0626",2016-12-13 13:54:00,"ALM","UPPER WEST SIDE APTS","Q1","328 Nw 14th St
(29.654461, -82.3405)"
"810","121316-0574",2016-12-13 13:07:00,"HAZ","LONGHORN","HZ2","2933 Clark Butler Blvd
(29.627126, -82.384897)"
"811","121316-0560",2016-12-13 12:58:00,"FIRE","4 Rivers Smokehouse","E2","3262 Sw 35th Blvd
(29.623594, -82.377518)"
"812","121316-0551",2016-12-13 12:50:00,"EMS","Granada Apartments","E3","1800 Nw 4th St
(29.668426, -82.329413)"
"813","121316-0542",2016-12-13 12:45:00,"EMS","VA Honor Center","SQ1","1604 Se 3rd Av
(29.64947, -82.304048)"
"814","121316-0506",2016-12-13 12:11:00,"EMS","Dignity Campgrounds","E3","3035 Ne 28th Dr
(29.677242, -82.290818)"
"815","121316-0480",2016-12-13 11:48:00,"EMS","Ronald McDonald House","TW2","1600 Sw 14th St
(29.636018, -82.340924)"
"816","121316-0473",2016-12-13 11:42:00,"EMS","Village Green Apartments","E3","3101 Ne 15th St
(29.682637, -82.3051)"
"817","121316-0457",2016-12-13 11:27:00,"EMS","Chick Fil A (swar)","E2","3621 Sw Archer Rd
(29.621384, -82.377909)"
"818","121316-0436",2016-12-13 11:07:00,"FIRE","","E2","Sw 34th St / Sw 35th Pl
(29.621731, -82.372811)"
"819","121316-0435",2016-12-13 11:06:00,"EMS","","E4","13 Sw 23rd Dr
(29.651844, -82.358189)"
"820","121316-0432",2016-12-13 11:06:00,"EMS","Shands Medical Plaza -HCF","E2","2000 Sw Archer Rd
(29.636934, -82.350372)"
"821","121316-0406",2016-12-13 10:45:00,"EMS","Oak Hammock IL 5200-1212 SW 25th Blvd","TW2","5200 Sw 25th Blvd
(29.604763, -82.359796)"
